Intersection Street 1,Intersection Street 2,LATITUDE,LONGITUDE
High Park Blvd,Parkside Dr,,
Glen Stewart Ave,Glen Stewart Cres,,
Humber River Recreational Trl,Cardell Ave,,
F G Gardiner Xy E,Bay St,,
Sheppard Ave W,Jane St,,
F G Gardiner Xy W,Lower Jarvis St,,
Lakeshore W Gardiner,Gardiner E Lower Jarvis Ramp,,
Allanbrooke Dr,Montgomery Rd,,
F G Gardiner Xy E,Lower Jarvis St,,
Sherway Gt,Evans Ave,,
Steeles Ave E,Tapscott Rd,,
Markham Rd,Milner Ave,,
F G Gardiner Xy E,F G Gardiner C E,,
F G Gardiner Xy W,Don Valley Parkway S,,
Islington Ave,Norseman St,,
Islington Ave,New Toronto St,,
Kingston Rd,Rylander Blvd,,
Davisville Ave,Mount Pleasant Rd,,
Ellesmere Rd,Military Trl,,
F G Gardiner Xy E,Lower Jarvis Gardiner Ramp,,
Balsam Ave,Queen St E,,
Benson Ave,Christie St,,
Castlewood Rd,Roselawn Ave,,
Martin Goodman Trl,Leslie St,,
Lloyd Manor Rd,Princess Margaret Blvd,,
Sammon Ave,Bonnie Brae Blvd,,
Marilyn Cres,St Clair Ave E,,
Benalto Rd,Dane Ave,,
Main St,Gerrard St E,,
Fifteenth St,Lake Shore Blvd W,,
William R Allen Rd N,Glencairn Ave,,
401 C W 401 X W,Neilson Rd,,
Taylor's Wharf Lane,Frederick St,,
Bayview Ave,Ruddington Dr,,
Coney Rd,Royal York Rd,,
Bay St,Hayter St,,
Freeland St,Queens Quay  E,,
Addington Ave,Sheppard Ave W,,
Don Valley Parkway N,Prince Edward Viaduct,,
The Kingsway,Dundas St W,,
Gerrard St E,Mutual St,,
Jarvis St,Richmond St E,,
Gerrard St E,George St,,
427 C S Evans Ramp,Evans Browns Li Ramp,,
Cawthra Ave,Junction Rd,,
Morningside Ave,Milner Ave,,
Brimorton Dr,McCowan Rd,,
Bin-Scarth Rd,Glen Rd,,
St Phillips Rd,Weston Rd,,
Woodward Evans Lane,Ontario St,,
Lansdowne Ave,Seaforth Ave,,
Gunns Rd,Old Stock Yards Rd,,
Gardiner Lakeshore W Ramp,Spadina S Gardiner Ramp,,
Gilmour Ave,Dundas St W,,
Cook Rd,Sentinel Rd,,
Eastern Ave Diversion,Broadview Ave,,
Markland Dr,Bloor St W,,
Dupont St,Spadina Rd,,
McNicoll Ave,Markham Rd,,
Ceramic Rd,Toro Rd,,
Dundas St E,George St,,
Brunswick Ave,Bloor St W,,
Ardagh St,Evans Ave,,
Boulton Ave,Queen St E,,
Millwood Rd,Mount Pleasant Rd,,
Deauville Lane,Grenoble Dr,,
Renforth Dr,Eglinton Ave W,,
Farmbrook Rd,Porchester Dr,,
Goldwin Ave,Jane St,,
Evans Ave,Kipling Ave,,
Steeles Ave W,Village Gt,,
Midland Ave,Progress Ave,,
Genthorn Ave,Kipling Ave,,
404 N Sheppard W Ramp,Highway 404 N,,
Leslie St,Ballyronan Rd,,
Maple Ave,Powell Ave,,
Edna Ave,Dundas St W,,
Lake Shore Blvd E,Carlaw Ave,,
Dorval Rd,Bloor St W,,
Dorval Rd,Edna Ave,,
Evans Browns Li Ramp,Brown's Line,,
Major St,Bloor St W,,
Borden St,Howland Ave,,
Willowdale Ave,Byng Ave,,
Lake Shore Blvd W,Long Branch Ave,,
Lawrence Ave E,Birchmount Rd,,
Eglinton Ave E,Jonesville Cres,,
Brimley Rd S,Bluffers Park Rd,,
De-Savery Cres,Thurloe Ave,,
Murray Ross Pkwy,Sentinel Rd,,
F G Gardiner Xy W,F G Gardiner Xy E,,
Queen's Park,University Ave,,
Victoria Park Ave,Sheppard Ave E,,
Coronation Dr,Wallsend Dr,,
Lawrence Ave E,Barrymore Rd,,
Lawrence Ave E,Kennedy Rd,,
Old Orchard Grv,Ridley Blvd,,
Greer Rd,Old Orchard Grv,,
Trethewey Dr,Yore Rd,,
Blackthorn Ave,Eglinton Ave W,,
Dupont St,Walmer Rd,,
Merton St,Mount Pleasant Rd,,
Lake Shore Blvd E,Parliament St,,
Avenue Rd,Eglinton Ave W,,
Finch Ave W,Weston Rd,,
Spadina Rd,Eglinton Ave W,,
Steeles Ave W,Bathurst St,,
Bayview Ave,Don River E Branch,,
Burrows Hall Blvd,Lapsley Rd,,
Kipling Ave,Penlea Ave,,
Sheppard Ave E,Nature Ptwy,,
Steeles Ave W,Jane St,,
Dufferin St,Rosemount Ave,,
Kenilworth Ave,Norway Ave,,
Shaw St,Dundas St W,,
Old Mill Trl,Home Smith Park Rd,,
Brock Ave,College St,,
Lake Shore Blvd W,Bathurst St,,
George Appleton Way,Keele St,,
Brookhaven Dr,Lawrence Ave W,,
Albion Rd,Kipling Ave,,
Wellington St E,Wellington St W,,
Howard Park Ave,Lynd Ave,,
Berwick Ave,Yonge St,,
Jedburgh Rd,Lawrence Ave W,,
Colbeck St,Durie St,,
Colbeck St,Runnymede Rd,,
Norseman St,Royal York Rd,,
Bayview Ave,Nesbitt Dr,,
Irene Ave,Roblocke Ave,,
Dustan Cres,O'Connor Dr,,
Eglinton Ave E,Bellamy Rd N,,
Caledonia Rd,Summit Ave,,
Greenwood Ave,Felstead Ave,,
Bathurst St,Neptune Dr,,
Alexis Blvd,Harlock Blvd,,
Royal York Rd,Wilgar Rd,,
Cherry St,Mill St,,
Chechalk Lane,Dundonald St,,
Bayview Ave,Pottery Rd,,
Burnhamthorpe Rd,Cordova Ave,,
Leslie St,Lake Shore Blvd E,,
Keele St,Yore Rd,,
Canarctic Dr,Keele St,,
Bay St,Cumberland St,,
Stotts Ter,Lawrence Ave E,,
Sheppard Ave E,Massie St,,
The East Mall,The Queensway,,
Lawrence Ave W,South Station St,,
Dunbloor Rd,Bloor St W,,
McNicoll Ave,Pharmacy Ave,,
Rawlinson Ave,Roehampton Ave,,
Joe Shuster Way,Dufferin St,,
Queen's Park Cres W,Wellesley St W,,
Bay St,Charles St W,,
Wilson Ave,Collinson Blvd,,
St Clair Ave E,Kingston Rd,,
Marmaduke St,Neepawa Ave,,
Limerick Ave,Snowberry Ave,,
Sheppard Ave E,Midland Ave,,
Keeler Blvd,Neilson Rd,,
Wilson Ave,Dubray Ave,,
Bedford Rd,Lowther Ave,,
Greenwood Ave,Mortimer Ave,,
Crocus Dr,Wisteria Rd,,
Bellamy Rd N,Progress Ave,,
Glenburn Ave,St Clair Ave E,,
F G Gardiner Xy E,Martin Goodman Trl,,
Romanway Cres,Wright Ave,,
Howard Park Ave,Roncesvalles Ave,,
Lake Shore Blvd W,Legion Rd,,
Lawrence Ave E,Weybourne Cres,,
Bay St,Dundas St W,,
Bayview Ave,Post Rd,,
Sumach St,Oak St,,
Eglinton Ave E,Brentcliffe Rd,,
Danforth Rd,Magnolia Ave,,
Highway 401 C E,Avenue Rd,,
Sherbourne St,Wellesley St E,,
Kendal Ave,Spadina Rd,,
Highway 401 X E,Wilson Ave,,
Jameson Ave,Queen St W,,
Lawrence Ave E,Crockford Blvd,,
Humberwood Blvd,View Green Cres,,
Lake Shore Blvd W,Tenth St,,
Avoca Ave,St Clair Ave E,,
Dundas St W,Jane St,,
Bestobell Rd,Evans Ave,,
Rolph Rd,Southvale Dr,,
Brett Ave,Palm Dr,,
Richmond St E,Victoria St,,
Candy Courtway,Patricia Ave,,
Military Trl,Neilson Rd,,
Lambeth Cres,Lambeth Rd,,
Bloor St W,Dufferin St,,
Huntingwood Dr,Warden Ave,,
Finch Ave E,Bridletowne Crcl,,
Webb Ave,Runnymede Rd,,
William R Allen Rd N,Flemington Rd,,
Kingston Rd,Waverley Rd,,
Colbeck St,Jane St,,
John Garland Blvd,Martin Grove Rd,,
Gardiner Lakeshore E,Lower Jarvis Gardiner Ramp,,
King St E,Victoria St,,
Wilson Ave,Allard Ave,,
Brimley Rd,Grittani Lane,,
Taylor's Wharf Lane,Jenoves Pl,,
Avenue Rd,Davenport Rd,,
Spadina Rd,Strathearn Blvd,,
Morningside Ave,Sheppard Ave E,,
Rajah St,Sultana Ave,,
Wynford Dr Eglinton W Ramp,Eglinton E Wynford Dr Ramp,,
St Clair Ave E,Mount Pleasant Rd,,
Berry Rd,Cloverhill Rd,,
Mabelle Ave,Dundas St W,,
Belfield Rd,Iron St,,
Harbord St,Grace St,,
Grenadier Rd,Lynd Ave,,
Lawrence Ave E,Townley Ave,,
Kingston Rd,Morningside Ave,,
27 S Belfield W Ramp,Belfield E 27 S Ramp,,
Yonge St,Avondale Ave,,
Wilson Ave,Yonge St,,
Berry Rd,Park Lawn Rd,,
Berry Rd,Stephen Dr,,
Sheridan Ave,College St,,
Don Valley Parkway N,F G Gardiner Xy E,,
Leslie St,Old Cummer Ave,,
Wellington St W,John St,,
Queen St W,John St,,
Adelaide St W,John St,,
Albion Rd,Armel Crt,,
Churchill Ave,Yonge St,,
Ashbourne Dr,Burnhamthorpe Rd,,
Fort York Blvd,Dan Leckie Way,,
Hayden St,Yonge St,,
Queen St E,Queen St W,,
Eglinton Ave E,Credit Union Dr,,
Island Rd,Rouge Hills Dr,,
Brimley Rd,Danforth Rd,,
Bleecker St,Carlton St,,
St Regis Cres,Keele St,,
Connolly St,Osler St,,
Ferris Rd,Squires Ave,,
Fenside Dr,York Mills Rd,,
Beverley St,Queen St W,,
University Ave,Dundas St W,,
Gaydon Ave,Lilac Ave,,
Highway 401 C W,Bathurst St,,
Orchard View Blvd,Yonge St,,
Roehampton Ave,Yonge St,,
Lawrence Ave E,Scarborough Golf Club Rd,,
Lake Shore Blvd W,Windermere Ave,,
Via Italia,Peterborough Ave,,
Highway 401 C E,Keele St,,
Donora Dr,Meighen Ave,,
Goldcrest Blvd,Lawrence Ave W,,
Almont Rd,Charleswood Dr,,
Gatineau Hydro Corridor Trl,Lawrence Ave E,,
Brimley Rd,Pitfield Rd,,
Shoreham Dr,Jane St,,
The Queensway,The West Mall,,
Larkfield Dr,Rippleton Rd,,
Douro St,King St W,,
Montgomery Rd,Bloor St W,,
Steeles Ave E,Ashcott St,,
Sorauren Ave,Fern Ave,,
Bathurst St,Heathdale Rd,,
Birchview Blvd,Royal York Rd,,
Finch Ave W,Humberline Dr,,
Richmond St W,Simcoe St,,
Don Roadway,Villiers St,,
Old Mill Ter,Bloor St W,,
Bloor St W,Old Mill Dr,,
Eglinton Ave E,Victoria Park Ave,,
Leslie St,Bond Ave,,
Greenbrook Dr,Keele St,,
Dundas St E,Highfield Rd,,
George St S,The Esplanade,,
Burgess Ave,Woodbine Ave,,
Parkside Dr,Bloor St W,,
Westmoreland Ave N,Geary Ave,,
Harbour St,York St,,
Davenport Rd,Laughton Ave,,
Renforth Dr,Toledo Rd,,
Oriole Rd,Heath St W,,
